"No.","Time","Source","Destination","Protocol","Length","Info"
"1014554","6449.750597","cyber-bl_da:71:15 (Ubuntu)","41:42:16:d1:d5:bf (E-91)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"1014570","6449.812204","41:42:16:d1:d5:bf (E-91)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 62%"
"1014589","6449.902272","41:42:16:d1:d5:bf (E-91)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 56%"
"1014591","6449.906613","cyber-bl_da:71:15 (Ubuntu)","41:42:16:d1:d5:bf (E-91)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"1014611","6449.992212","41:42:16:d1:d5:bf (E-91)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 56%"
"1014632","6450.082257","41:42:16:d1:d5:bf (E-91)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 50%"
"1014634","6450.086606","cyber-bl_da:71:15 (Ubuntu)","41:42:16:d1:d5:bf (E-91)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"1014656","6450.174708","41:42:16:d1:d5:bf (E-91)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 50%"
"1014679","6450.267213","41:42:16:d1:d5:bf (E-91)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 44%"
"1014681","6450.271606","cyber-bl_da:71:15 (Ubuntu)","41:42:16:d1:d5:bf (E-91)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"1014700","6450.337266","41:42:16:d1:d5:bf (E-91)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 44%"
"1014717","6450.403535","41:42:16:d1:d5:bf (E-91)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 37%"
